Quarter,Origin,Arrivals
1981-01-01,Japan,14763
1981-04-01,Japan,9321
1981-07-01,Japan,10166
1981-10-01,Japan,19509
1982-01-01,Japan,17117
1982-04-01,Japan,10617
1982-07-01,Japan,11737
1982-10-01,Japan,20961
1983-01-01,Japan,20671
1983-04-01,Japan,12235
1983-07-01,Japan,14567
1983-10-01,Japan,24363
1984-01-01,Japan,23169
1984-04-01,Japan,16296
1984-07-01,Japan,18504
1984-10-01,Japan,29938
1985-01-01,Japan,30240
1985-04-01,Japan,20280
1985-07-01,Japan,20908
1985-10-01,Japan,36169
1986-01-01,Japan,37989
1986-04-01,Japan,32366
1986-07-01,Japan,28131
1986-10-01,Japan,47150
1987-01-01,Japan,51736
1987-04-01,Japan,38254
1987-07-01,Japan,53807
1987-10-01,Japan,71807
1988-01-01,Japan,80300
1988-04-01,Japan,79596
1988-07-01,Japan,88708
1988-10-01,Japan,103738
1989-01-01,Japan,94172
1989-04-01,Japan,76462
1989-07-01,Japan,88393
1989-10-01,Japan,90527
1990-01-01,Japan,119654
1990-04-01,Japan,106965
1990-07-01,Japan,128472
1990-10-01,Japan,124773
1991-01-01,Japan,119638
1991-04-01,Japan,115049
1991-07-01,Japan,140470
1991-10-01,Japan,153436
1992-01-01,Japan,166732
1992-04-01,Japan,141886
1992-07-01,Japan,160455
1992-10-01,Japan,160807
1993-01-01,Japan,178466
1993-04-01,Japan,151904
1993-07-01,Japan,168131
1993-10-01,Japan,172358
1994-01-01,Japan,191367
1994-04-01,Japan,158207
1994-07-01,Japan,183289
1994-10-01,Japan,188273
1995-01-01,Japan,196480
1995-04-01,Japan,174307
1995-07-01,Japan,214067
1995-10-01,Japan,197850
1996-01-01,Japan,227335
1996-04-01,Japan,174325
1996-07-01,Japan,219347
1996-10-01,Japan,192137
1997-01-01,Japan,223640
1997-04-01,Japan,167269
1997-07-01,Japan,227641
1997-10-01,Japan,195350
1998-01-01,Japan,205468
1998-04-01,Japan,168520
1998-07-01,Japan,200860
1998-10-01,Japan,176235
1999-01-01,Japan,193822
1999-04-01,Japan,154860
1999-07-01,Japan,188080
1999-10-01,Japan,170689
2000-01-01,Japan,192023
2000-04-01,Japan,154701
2000-07-01,Japan,182130
2000-10-01,Japan,192135
2001-01-01,Japan,193645
2001-04-01,Japan,156303
2001-07-01,Japan,186861
2001-10-01,Japan,136748
2002-01-01,Japan,177263
2002-04-01,Japan,158357
2002-07-01,Japan,183821
2002-10-01,Japan,196006
2003-01-01,Japan,176132
2003-04-01,Japan,102633
2003-07-01,Japan,156396
2003-10-01,Japan,192591
2004-01-01,Japan,185175
2004-04-01,Japan,153363
2004-07-01,Japan,181659
2004-10-01,Japan,190143
2005-01-01,Japan,193547
2005-04-01,Japan,135461
2005-07-01,Japan,176242
2005-10-01,Japan,180085
2006-01-01,Japan,189187
2006-04-01,Japan,128919
2006-07-01,Japan,163649
2006-10-01,Japan,169314
2007-01-01,Japan,165823
2007-04-01,Japan,111484
2007-07-01,Japan,149065
2007-10-01,Japan,146673
2008-01-01,Japan,136544
2008-04-01,Japan,88879
2008-07-01,Japan,121951
2008-10-01,Japan,109858
2009-01-01,Japan,106123
2009-04-01,Japan,65748
2009-07-01,Japan,88371
2009-10-01,Japan,95214
2010-01-01,Japan,109072
2010-04-01,Japan,71253
2010-07-01,Japan,117876
2010-10-01,Japan,99987
2011-01-01,Japan,92889
2011-04-01,Japan,53397
2011-07-01,Japan,96467
2011-10-01,Japan,89900
2012-01-01,Japan,98180
2012-04-01,Japan,59760
2012-07-01,Japan,101900
1981-01-01,NZ,49140
1981-04-01,NZ,87467
1981-07-01,NZ,85841
1981-10-01,NZ,61882
1982-01-01,NZ,42045
1982-04-01,NZ,63081
1982-07-01,NZ,73275
1982-10-01,NZ,54808
1983-01-01,NZ,41030
1983-04-01,NZ,56155
1983-07-01,NZ,69395
1983-10-01,NZ,58423
1984-01-01,NZ,37039
1984-04-01,NZ,71564
1984-07-01,NZ,71260
1984-10-01,NZ,54597
1985-01-01,NZ,41646
1985-04-01,NZ,63668
1985-07-01,NZ,67803
1985-10-01,NZ,72177
1986-01-01,NZ,55192
1986-04-01,NZ,89073
1986-07-01,NZ,97746
1986-10-01,NZ,94696
1987-01-01,NZ,71130
1987-04-01,NZ,111416
1987-07-01,NZ,127619
1987-10-01,NZ,117078
1988-01-01,NZ,90498
1988-04-01,NZ,135435
1988-07-01,NZ,176899
1988-10-01,NZ,131457
1989-01-01,NZ,83029
1989-04-01,NZ,111748
1989-07-01,NZ,128509
1989-10-01,NZ,126021
1990-01-01,NZ,75584
1990-04-01,NZ,109472
1990-07-01,NZ,122164
1990-10-01,NZ,111222
1991-01-01,NZ,90067
1991-04-01,NZ,114050
1991-07-01,NZ,152662
1991-10-01,NZ,123821
1992-01-01,NZ,75376
1992-04-01,NZ,107369
1992-07-01,NZ,128550
1992-10-01,NZ,136250
1993-01-01,NZ,90758
1993-04-01,NZ,124972
1993-07-01,NZ,153153
1993-10-01,NZ,130393
1994-01-01,NZ,90095
1994-04-01,NZ,113799
1994-07-01,NZ,148605
1994-10-01,NZ,127879
1995-01-01,NZ,95295
1995-04-01,NZ,130073
1995-07-01,NZ,166383
1995-10-01,NZ,146632
1996-01-01,NZ,132410
1996-04-01,NZ,166735
1996-07-01,NZ,205120
1996-10-01,NZ,167569
1997-01-01,NZ,142502
1997-04-01,NZ,160522
1997-07-01,NZ,205250
1997-10-01,NZ,177366
1998-01-01,NZ,128179
1998-04-01,NZ,184943
1998-07-01,NZ,212263
1998-10-01,NZ,183996
1999-01-01,NZ,143015
1999-04-01,NZ,179577
1999-07-01,NZ,215732
1999-10-01,NZ,190461
2000-01-01,NZ,154537
2000-04-01,NZ,212401
2000-07-01,NZ,229048
2000-10-01,NZ,221071
2001-01-01,NZ,162480
2001-04-01,NZ,215840
2001-07-01,NZ,233074
2001-10-01,NZ,203493
2002-01-01,NZ,159879
2002-04-01,NZ,191215
2002-07-01,NZ,226008
2002-10-01,NZ,213000
2003-01-01,NZ,150700
2003-04-01,NZ,203400
2003-07-01,NZ,241800
2003-10-01,NZ,243200
2004-01-01,NZ,188873
2004-04-01,NZ,252262
2004-07-01,NZ,312956
2004-10-01,NZ,278709
2005-01-01,NZ,219527
2005-04-01,NZ,270782
2005-07-01,NZ,325633
2005-10-01,NZ,282908
2006-01-01,NZ,212323
2006-04-01,NZ,269964
2006-07-01,NZ,307149
2006-10-01,NZ,286361
2007-01-01,NZ,219885
2007-04-01,NZ,301654
2007-07-01,NZ,320737
2007-10-01,NZ,295727
2008-01-01,NZ,222770
2008-04-01,NZ,282076
2008-07-01,NZ,304979
2008-10-01,NZ,303481
2009-01-01,NZ,221287
2009-04-01,NZ,275761
2009-07-01,NZ,311431
2009-10-01,NZ,301983
2010-01-01,NZ,228162
2010-04-01,NZ,281791
2010-07-01,NZ,330812
2010-10-01,NZ,320897
2011-01-01,NZ,239103
2011-04-01,NZ,292072
2011-07-01,NZ,311994
2011-10-01,NZ,329470
2012-01-01,NZ,247910
2012-04-01,NZ,301880
2012-07-01,NZ,319840
1981-01-01,UK,45266
1981-04-01,UK,19886
1981-07-01,UK,24839
1981-10-01,UK,52264
1982-01-01,UK,53636
1982-04-01,UK,34802
1982-07-01,UK,31126
1982-10-01,UK,53619
1983-01-01,UK,43423
1983-04-01,UK,23421
1983-07-01,UK,29142
1983-10-01,UK,51771
1984-01-01,UK,44182
1984-04-01,UK,24920
1984-07-01,UK,27566
1984-10-01,UK,48880
1985-01-01,UK,49563
1985-04-01,UK,23867
1985-07-01,UK,25895
1985-10-01,UK,54092
1986-01-01,UK,54903
1986-04-01,UK,26089
1986-07-01,UK,28248
1986-10-01,UK,66813
1987-01-01,UK,61167
1987-04-01,UK,32400
1987-07-01,UK,33287
1987-10-01,UK,72115
1988-01-01,UK,81925
1988-04-01,UK,42091
1988-07-01,UK,46253
1988-10-01,UK,90062
1989-01-01,UK,84191
1989-04-01,UK,48709
1989-07-01,UK,46905
1989-10-01,UK,93075
1990-01-01,UK,81185
1990-04-01,UK,53693
1990-07-01,UK,48037
1990-10-01,UK,94827
1991-01-01,UK,79365
1991-04-01,UK,52961
1991-07-01,UK,42366
1991-10-01,UK,89041
1992-01-01,UK,87850
1992-04-01,UK,57261
1992-07-01,UK,51058
1992-10-01,UK,93736
1993-01-01,UK,95137
1993-04-01,UK,55661
1993-07-01,UK,56400
1993-10-01,UK,103089
1994-01-01,UK,100250
1994-04-01,UK,57464
1994-07-01,UK,61831
1994-10-01,UK,115736
1995-01-01,UK,112684
1995-04-01,UK,64209
1995-07-01,UK,59287
1995-10-01,UK,111719
1996-01-01,UK,108173
1996-04-01,UK,64632
1996-07-01,UK,64742
1996-10-01,UK,129994
1997-01-01,UK,126261
1997-04-01,UK,65146
1997-07-01,UK,74071
1997-10-01,UK,145139
1998-01-01,UK,143115
1998-04-01,UK,82747
1998-07-01,UK,78303
1998-10-01,UK,163356
1999-01-01,UK,160239
1999-04-01,UK,81152
1999-07-01,UK,107941
1999-10-01,UK,179102
2000-01-01,UK,161953
2000-04-01,UK,105394
2000-07-01,UK,107231
2000-10-01,UK,205874
2001-01-01,UK,184901
2001-04-01,UK,107454
2001-07-01,UK,121889
2001-10-01,UK,202988
2002-01-01,UK,206655
2002-04-01,UK,95564
2002-07-01,UK,115950
2002-10-01,UK,224496
2003-01-01,UK,196276
2003-04-01,UK,107563
2003-07-01,UK,125171
2003-10-01,UK,243894
2004-01-01,UK,205423
2004-04-01,UK,111924
2004-07-01,UK,125132
2004-10-01,UK,233761
2005-01-01,UK,235242
2005-04-01,UK,105370
2005-07-01,UK,131141
2005-10-01,UK,237053
2006-01-01,UK,224933
2006-04-01,UK,116211
2006-07-01,UK,123808
2006-10-01,UK,269292
2007-01-01,UK,231686
2007-04-01,UK,108543
2007-07-01,UK,122734
2007-10-01,UK,226031
2008-01-01,UK,230109
2008-04-01,UK,107430
2008-07-01,UK,115758
2008-10-01,UK,218864
2009-01-01,UK,210109
2009-04-01,UK,113973
2009-07-01,UK,116517
2009-10-01,UK,223178
2010-01-01,UK,213568
2010-04-01,UK,99497
2010-07-01,UK,108208
2010-10-01,UK,225395
2011-01-01,UK,188560
2011-04-01,UK,110212
2011-07-01,UK,107089
2011-10-01,UK,202240
2012-01-01,UK,194640
2012-04-01,UK,92970
2012-07-01,UK,101690
1981-01-01,US,32316
1981-04-01,US,23721
1981-07-01,US,24533
1981-10-01,US,33438
1982-01-01,US,33527
1982-04-01,US,28366
1982-07-01,US,30856
1982-10-01,US,33293
1983-01-01,US,32472
1983-04-01,US,32369
1983-07-01,US,37476
1983-10-01,US,38112
1984-01-01,US,42553
1984-04-01,US,41277
1984-07-01,US,33056
1984-10-01,US,44472
1985-01-01,US,47792
1985-04-01,US,43070
1985-07-01,US,41116
1985-10-01,US,65428
1986-01-01,US,59377
1986-04-01,US,53283
1986-07-01,US,48510
1986-10-01,US,85878
1987-01-01,US,84130
1987-04-01,US,64346
1987-07-01,US,65976
1987-10-01,US,96165
1988-01-01,US,78609
1988-04-01,US,69306
1988-07-01,US,86267
1988-10-01,US,92738
1989-01-01,US,73321
1989-04-01,US,59819
1989-07-01,US,60868
1989-10-01,US,67761
1990-01-01,US,67637
1990-04-01,US,56153
1990-07-01,US,58783
1990-10-01,US,69018
1991-01-01,US,63235
1991-04-01,US,56691
1991-07-01,US,85473
1991-10-01,US,66332
1992-01-01,US,69861
1992-04-01,US,61501
1992-07-01,US,57869
1992-10-01,US,73632
1993-01-01,US,76323
1993-04-01,US,62718
1993-07-01,US,64730
1993-10-01,US,77495
1994-01-01,US,81428
1994-04-01,US,63554
1994-07-01,US,66505
1994-10-01,US,78190
1995-01-01,US,83047
1995-04-01,US,67448
1995-07-01,US,69234
1995-10-01,US,85160
1996-01-01,US,84995
1996-04-01,US,71005
1996-07-01,US,71412
1996-10-01,US,89483
1997-01-01,US,87405
1997-04-01,US,73061
1997-07-01,US,79986
1997-10-01,US,89141
1998-01-01,US,101167
1998-04-01,US,85384
1998-07-01,US,82586
1998-10-01,US,104760
1999-01-01,US,113860
1999-04-01,US,92494
1999-07-01,US,95001
1999-10-01,US,115704
2000-01-01,US,118840
2000-04-01,US,107313
2000-07-01,US,131833
2000-10-01,US,130100
2001-01-01,US,126702
2001-04-01,US,113471
2001-07-01,US,105239
2001-10-01,US,101058
2002-01-01,US,121127
2002-04-01,US,97016
2002-07-01,US,102261
2002-10-01,US,114103
2003-01-01,US,112908
2003-04-01,US,94212
2003-07-01,US,102961
2003-10-01,US,112039
2004-01-01,US,114017
2004-04-01,US,101065
2004-07-01,US,105884
2004-10-01,US,112335
2005-01-01,US,122725
2005-04-01,US,104542
2005-07-01,US,107725
2005-10-01,US,111286
2006-01-01,US,123608
2006-04-01,US,109865
2006-07-01,US,107787
2006-10-01,US,114824
2007-01-01,US,124677
2007-04-01,US,108089
2007-07-01,US,107738
2007-10-01,US,119189
2008-01-01,US,128066
2008-04-01,US,99471
2008-07-01,US,111243
2008-10-01,US,115636
2009-01-01,US,119158
2009-04-01,US,105507
2009-07-01,US,118979
2009-10-01,US,136094
2010-01-01,US,127535
2010-04-01,US,105974
2010-07-01,US,111615
2010-10-01,US,127002
2011-01-01,US,125264
2011-04-01,US,101814
2011-07-01,US,101925
2011-10-01,US,127150
2012-01-01,US,129520
2012-04-01,US,105700
2012-07-01,US,106540
