"unique_id","ds","y"
"labour",1978-02-01,6468.5
"labour",1978-03-01,6465.4
"labour",1978-04-01,6457.6
"labour",1978-05-01,6436.7
"labour",1978-06-01,6424.8
"labour",1978-07-01,6416.6
"labour",1978-08-01,6403.7
"labour",1978-09-01,6411.6
"labour",1978-10-01,6416.2
"labour",1978-11-01,6406.6
"labour",1978-12-01,6570
"labour",1979-01-01,6421.2
"labour",1979-02-01,6508.8
"labour",1979-03-01,6524.6
"labour",1979-04-01,6508.2
"labour",1979-05-01,6475.7
"labour",1979-06-01,6488.7
"labour",1979-07-01,6491
"labour",1979-08-01,6456
"labour",1979-09-01,6558.2
"labour",1979-10-01,6555.4
"labour",1979-11-01,6552.4
"labour",1979-12-01,6688.1
"labour",1980-01-01,6554.6
"labour",1980-02-01,6655.8
"labour",1980-03-01,6694.3
"labour",1980-04-01,6632.8
"labour",1980-05-01,6690
"labour",1980-06-01,6679.2
"labour",1980-07-01,6701.7
"labour",1980-08-01,6675.9
"labour",1980-09-01,6767.6
"labour",1980-10-01,6698.7
"labour",1980-11-01,6701.6
"labour",1980-12-01,6862.3
"labour",1981-01-01,6686.8
"labour",1981-02-01,6784.2
"labour",1981-03-01,6841.2
"labour",1981-04-01,6805.8
"labour",1981-05-01,6791.6
"labour",1981-06-01,6767.6
"labour",1981-07-01,6803.6
"labour",1981-08-01,6774.3
"labour",1981-09-01,6896.7
"labour",1981-10-01,6819.3
"labour",1981-11-01,6808.4
"labour",1981-12-01,6944.4
"labour",1982-01-01,6799.4
"labour",1982-02-01,6921.2
"labour",1982-03-01,6961.2
"labour",1982-04-01,6871.6
"labour",1982-05-01,6894.7
"labour",1982-06-01,6865.9
"labour",1982-07-01,6879.3
"labour",1982-08-01,6840.7
"labour",1982-09-01,6952.6
"labour",1982-10-01,6961.7
"labour",1982-11-01,6922.2
"labour",1982-12-01,7047.6
"labour",1983-01-01,6866.7
"labour",1983-02-01,7014.2
"labour",1983-03-01,7044.3
"labour",1983-04-01,6963.8
"labour",1983-05-01,6993.3
"labour",1983-06-01,6959.7
"labour",1983-07-01,6982.2
"labour",1983-08-01,6927.9
"labour",1983-09-01,7079.1
"labour",1983-10-01,6989.3
"labour",1983-11-01,7002.3
"labour",1983-12-01,7146.4
"labour",1984-01-01,6969.3
"labour",1984-02-01,7101.9
"labour",1984-03-01,7203.2
"labour",1984-04-01,7153.2
"labour",1984-05-01,7125.2
"labour",1984-06-01,7131.5
"labour",1984-07-01,7123.6
"labour",1984-08-01,7070.1
"labour",1984-09-01,7200.6
"labour",1984-10-01,7131.5
"labour",1984-11-01,7147.3
"labour",1984-12-01,7263.4
"labour",1985-01-01,7110.1
"labour",1985-02-01,7269.9
"labour",1985-03-01,7330.2
"labour",1985-04-01,7204.1
"labour",1985-05-01,7267.1
"labour",1985-06-01,7267
"labour",1985-07-01,7270.3
"labour",1985-08-01,7248.3
"labour",1985-09-01,7403.9
"labour",1985-10-01,7305.8
"labour",1985-11-01,7425.1
"labour",1985-12-01,7502
"labour",1986-01-01,7378.5
"labour",1986-02-01,7527.2
"labour",1986-03-01,7604.5
"labour",1986-04-01,7606.5
"labour",1986-05-01,7573.5
"labour",1986-06-01,7571.5
"labour",1986-07-01,7587.6
"labour",1986-08-01,7516.2
"labour",1986-09-01,7673.7
"labour",1986-10-01,7621.4
"labour",1986-11-01,7618.4
"labour",1986-12-01,7772.6
"labour",1987-01-01,7573.2
"labour",1987-02-01,7722
"labour",1987-03-01,7836.2
"labour",1987-04-01,7761.6
"labour",1987-05-01,7738.7
"labour",1987-06-01,7732
"labour",1987-07-01,7785.7
"labour",1987-08-01,7694.4
"labour",1987-09-01,7784.1
"labour",1987-10-01,7762.8
"labour",1987-11-01,7749.3
"labour",1987-12-01,7951.3
"labour",1988-01-01,7815.6
"labour",1988-02-01,7892.1
"labour",1988-03-01,8042.7
"labour",1988-04-01,8028.2
"labour",1988-05-01,7947.9
"labour",1988-06-01,7947.3
"labour",1988-07-01,7901.8
"labour",1988-08-01,7892.1
"labour",1988-09-01,8057.7
"labour",1988-10-01,7985.2
"labour",1988-11-01,7997.1
"labour",1988-12-01,8186.2
"labour",1989-01-01,8017.3
"labour",1989-02-01,8167.8
"labour",1989-03-01,8184.5
"labour",1989-04-01,8199.4
"labour",1989-05-01,8247.8
"labour",1989-06-01,8197.9
"labour",1989-07-01,8235.1
"labour",1989-08-01,8197
"labour",1989-09-01,8355.7
"labour",1989-10-01,8275.1
"labour",1989-11-01,8317.5
"labour",1989-12-01,8443.5
"labour",1990-01-01,8263
"labour",1990-02-01,8402.8
"labour",1990-03-01,8426.4
"labour",1990-04-01,8428.5
"labour",1990-05-01,8466.5
"labour",1990-06-01,8451.8
"labour",1990-07-01,8502.3
"labour",1990-08-01,8412.5
"labour",1990-09-01,8553.2
"labour",1990-10-01,8477.5
"labour",1990-11-01,8479.4
"labour",1990-12-01,8645.7
"labour",1991-01-01,8263
"labour",1991-02-01,8436.4
"labour",1991-03-01,8199.393
"labour",1991-04-01,8323.465
"labour",1991-05-01,8606.8
"labour",1991-06-01,8199.389
"labour",1991-07-01,8480.8
"labour",1991-08-01,8425.7
"labour",1991-09-01,8630
"labour",1991-10-01,8489.4
"labour",1991-11-01,8491.6
"labour",1991-12-01,8699.8
"labour",1992-01-01,8530.5
"labour",1992-02-01,8648.6
"labour",1992-03-01,8653.6
"labour",1992-04-01,8607.3
"labour",1992-05-01,8607.9
"labour",1992-06-01,8615.5
"labour",1992-07-01,8667.9
"labour",1992-08-01,8585.7
"labour",1992-09-01,8686.8
"labour",1992-10-01,8627.4
"labour",1992-11-01,8552
"labour",1992-12-01,8738.7
"labour",1993-01-01,8543.6
"labour",1993-02-01,8583.2
"labour",1993-03-01,8643.6
"labour",1993-04-01,8519.6
"labour",1993-05-01,8573.4
"labour",1993-06-01,8591.5
"labour",1993-07-01,8573.1
"labour",1993-08-01,8537
"labour",1993-09-01,8712.5
"labour",1993-10-01,8668.2
"labour",1993-11-01,8662.7
"labour",1993-12-01,8816.7
"labour",1994-01-01,8656
"labour",1994-02-01,8759
"labour",1994-03-01,8787.4
"labour",1994-04-01,8718.7
"labour",1994-05-01,8729.1
"labour",1994-06-01,8731.9
"labour",1994-07-01,8788.9
"labour",1994-08-01,8683.5
"labour",1994-09-01,8918.1
"labour",1994-10-01,8788.1
"labour",1994-11-01,8789.3
"labour",1994-12-01,8963.8
"labour",1995-01-01,8807.1
"labour",1995-02-01,8976.3
"labour",1995-03-01,8980.3
"labour",1995-04-01,8973.7
"labour",1995-05-01,8984.4
"labour",1995-06-01,8998.4
"labour",1995-07-01,9003.1
"labour",1995-08-01,8939.6
